                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.60019,                 0.3209,                 0.8164,                0.98569,                0.98039,                0.99112,                0.86134,                0.57884,                 0.2848,                0.78825,              0.0001817,              0.0001817,              0.0001817
                     71,                 0.5896,                0.31501,                0.81674,                0.98864,                0.98048,                0.99118,                0.86144,                0.58571,                0.28506,                 0.7909,              0.0001762,              0.0001762,              0.0001762
                     72,                0.59477,                0.31932,                0.81478,                0.98925,                0.97955,                0.99187,                0.86277,                0.57947,                0.28265,                 0.7897,             0.00017069,             0.00017069,             0.00017069
                     73,                0.58909,                0.31476,                0.81516,                0.98531,                0.97963,                0.99055,                0.86008,                0.59317,                0.28431,                0.79157,             0.00016519,             0.00016519,             0.00016519
                     74,                0.58567,                0.31292,                0.81363,                0.98911,                0.98004,                0.99151,                0.86617,                0.57701,                0.27808,                0.78927,             0.00015968,             0.00015968,             0.00015968
                     75,                0.57915,                0.31078,                0.81668,                 0.9874,                0.98254,                0.99185,                0.86591,                0.58471,                 0.2799,                0.79069,             0.00015418,             0.00015418,             0.00015418
                     76,                0.58482,                0.31227,                0.81527,                0.99037,                0.98511,                0.99242,                0.86717,                0.57995,                0.27925,                0.79003,             0.00014867,             0.00014867,             0.00014867
                     77,                0.58519,                0.31299,                0.81649,                0.99001,                0.97623,                0.99056,                0.86017,                0.58879,                0.28133,                0.79107,             0.00014317,             0.00014317,             0.00014317
                     78,                0.57788,                0.30895,                0.81228,                0.98964,                0.97545,                0.99081,                0.85436,                0.61397,                0.28796,                0.79569,             0.00013767,             0.00013767,             0.00013767
                     79,                0.58013,                0.30858,                0.81412,                0.98971,                0.97693,                0.99139,                0.86409,                0.57861,                 0.2776,                0.78949,             0.00013216,             0.00013216,             0.00013216
                     80,                0.57159,                0.30517,                0.81327,                 0.9922,                0.97685,                0.99132,                0.86281,                0.58925,                0.28339,                0.79204,             0.00012666,             0.00012666,             0.00012666
                     81,                0.57587,                0.30614,                0.81653,                0.98711,                0.98046,                0.99123,                0.86801,                0.57178,                0.27517,                0.79006,             0.00012115,             0.00012115,             0.00012115
                     82,                0.57407,                0.30498,                0.81261,                 0.9869,                0.98178,                0.99107,                0.86133,                0.59635,                0.27885,                 0.7922,             0.00011565,             0.00011565,             0.00011565
                     83,                0.57167,                0.30285,                0.81181,                0.99025,                0.97553,                0.99052,                0.86152,                0.58425,                0.27568,                0.79029,             0.00011014,             0.00011014,             0.00011014
                     84,                0.56769,                0.30173,                0.81239,                0.98976,                0.97536,                0.99061,                0.85821,                0.59334,                0.27541,                0.79227,             0.00010464,             0.00010464,             0.00010464
                     85,                0.57045,                0.30136,                 0.8141,                0.98821,                0.97863,                0.99097,                 0.8615,                0.58181,                0.27352,                0.78768,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     86,                0.56834,                0.29721,                0.81266,                 0.9865,                0.98276,                0.99173,                0.86283,                0.59262,                0.27346,                0.79175,              9.363e-05,              9.363e-05,              9.363e-05
                     87,                0.55806,                0.29744,                0.80989,                   0.99,                0.98299,                0.99196,                0.86602,                0.57596,                0.26969,                0.78947,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     88,                0.56163,                0.29484,                0.81059,                0.98914,                0.98077,                0.99167,                0.86607,                0.57261,                0.27028,                0.78804,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     89,                0.56175,                0.29394,                0.81107,                0.98477,                0.97882,                0.99059,                0.85743,                0.59447,                0.27468,                0.79151,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     90,                0.56872,                0.29773,                0.81084,                0.98738,                0.97893,                0.99111,                0.86496,                0.57907,                0.26949,                0.78906,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     91,                0.56261,                0.28066,                0.79018,                0.99352,                0.97517,                0.99156,                0.86923,                0.56712,                0.27195,                 0.7863,             6.6108e-05,             6.6108e-05,             6.6108e-05
                     92,                0.55188,                0.27502,                0.78465,                0.98461,                  0.984,                0.99166,                0.87156,                0.55579,                0.26672,                0.78346,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     93,                0.54516,                0.27031,                 0.7833,                0.98577,                 0.9779,                0.99079,                0.86982,                0.55287,                0.26742,                0.78272,               5.51e-05,               5.51e-05,               5.51e-05
                     94,                0.53921,                0.26895,                0.78304,                0.99433,                 0.9745,                0.99118,                 0.8706,                0.56112,                0.26611,                0.78437,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     95,                0.53555,                 0.2676,                 0.7839,                0.98319,                0.98103,                0.99127,                 0.8696,                0.55632,                0.26432,                0.78274,             4.4091e-05,             4.4091e-05,             4.4091e-05
                     96,                0.53051,                 0.2638,                  0.781,                0.98881,                0.97966,                0.99151,                0.87254,                0.55378,                0.26198,                0.78285,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     97,                0.52912,                0.26317,                 0.7831,                0.99201,                0.97711,                0.99152,                0.87333,                0.55632,                 0.2627,                0.78335,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     98,                0.52841,                0.26396,                0.77957,                0.98802,                0.98022,                0.99145,                0.87271,                0.55372,                0.26097,                0.78316,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     99,                0.52441,                0.25912,                0.77803,                0.98743,                0.98207,                0.99162,                0.87326,                 0.5514,                0.25978,                0.78245,             2.2073e-05,             2.2073e-05,             2.2073e-05
                    100,                0.52147,                0.26042,                0.78199,                0.98692,                 0.9818,                0.99154,                0.87396,                0.55059,                0.25984,                0.78215,             1.6569e-05,             1.6569e-05,             1.6569e-05
