                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.63731,                0.37915,                0.82755,                0.98304,                 0.9789,                0.98948,                0.84452,                0.61076,                0.33057,                0.79222,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     90,                0.64373,                0.38127,                0.82721,                0.98764,                0.97941,                0.99062,                0.85288,                0.59644,                0.32324,                0.79071,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     91,                0.63217,                0.35876,                0.80278,                0.98755,                0.97836,                0.99049,                0.85442,                0.58882,                0.33046,                0.78706,             6.6108e-05,             6.6108e-05,             6.6108e-05
                     92,                0.62025,                0.35189,                0.79712,                 0.9881,                0.97702,                0.99034,                0.85563,                0.58479,                0.32689,                0.78597,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     93,                0.61538,                0.34593,                 0.7958,                0.98591,                 0.9777,                0.98994,                0.85468,                0.58491,                0.32606,                0.78506,               5.51e-05,               5.51e-05,               5.51e-05
                     94,                0.61168,                0.34421,                 0.7961,                0.98706,                0.98146,                0.99109,                 0.8593,                0.57844,                0.32095,                0.78505,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     95,                0.60791,                0.34413,                0.79603,                0.98728,                0.98048,                0.99064,                0.85751,                 0.5789,                0.32317,                0.78378,             4.4091e-05,             4.4091e-05,             4.4091e-05
                     96,                0.60577,                0.34027,                0.79421,                0.98545,                0.98109,                0.99076,                0.85785,                0.57795,                 0.3207,                 0.7843,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     97,                0.60399,                0.34065,                0.79553,                0.98639,                0.98089,                0.99094,                0.85845,                0.57824,                0.32062,                0.78357,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     98,                0.60191,                0.34051,                0.79245,                0.98823,                 0.9822,                0.99114,                0.85911,                0.57704,                0.31897,                0.78452,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     99,                0.60309,                0.33803,                0.79173,                0.98836,                0.97957,                0.99079,                0.85838,                0.57816,                0.32092,                0.78351,             2.2073e-05,             2.2073e-05,             2.2073e-05
                    100,                 0.6015,                0.34066,                0.79568,                0.98701,                0.97934,                0.99067,                0.85991,                0.57316,                0.31852,                 0.7833,             1.6569e-05,             1.6569e-05,             1.6569e-05
